Routeid,Stop,Latitude,Longitude
60014,1,-112.432738,34.643708
60015,1,-111.43334,34.8453
60015,2,-111.43277,34.85951
60015,3,-111.42126,34.86619
60015,4,-111.42143,34.87999
60015,5,-111.42323,34.8927
60015,6,-111.42974,34.90562
60015,7,-111.43226,34.91911
60015,8,-111.42572,34.91773
60015,9,-111.41197,34.92315
60015,10,-111.39645,34.92986
60016,1,-110.375103,34.665486
60016,2,-110.3636,34.66334
60016,3,-110.346866,34.661746
60016,4,-110.345137,34.651715
60016,5,-110.349717,34.64613
60016,6,-110.365775,34.62632
60016,7,-110.384473,34.604567
60016,8,-110.399596,34.58704
60016,9,-110.407688,34.594532
60016,10,-110.418333,34.602596
60017,1,-109.603149,34.475082
60018,1,-114.216964,33.656203
60019,1,-113.853011,33.883929
60020,1,-112.272353,33.710521
60021,1,-111.216918,33.021979
60023,1,-109.106742,33.610052
60024,1,-114.433989,32.8412
60025,1,-113.541335,32.928561
60026,1,-112.787475,32.332571
60027,1,-111.383918,33.015628
60028,1,-110.302417,32.034278
60028,2,-110.290861,32.044361
60028,3,-110.281889,32.055889
60028,4,-110.285028,32.069944
60028,5,-110.293306,32.081861
60028,6,-110.298139,32.093861
60028,7,-110.30025,32.107167
60028,8,-110.290167,32.101833
60028,9,-110.286139,32.132139
60028,10,-110.288917,32.145417
60029,1,-109.336844,32.499687
60030,1,-112.799987,31.957191
60031,1,-111.06481,31.38752
60031,2,-111.07562,31.39368
60031,3,-111.08964,31.39312
60031,4,-111.10558,31.39107
60031,5,-111.11825,31.38993
60031,6,-111.13065,31.39224
60031,7,-111.14186,31.39835
60031,8,-111.15139,31.40716
60031,9,-111.16061,31.41371
60031,10,-111.16501,31.42391
60032,1,-110.79459,31.5176
60032,2,-110.78075,31.52271
60032,3,-110.76937,31.53195
60032,4,-110.75773,31.54085
60032,5,-110.73932,31.54005
60032,6,-110.7243,31.53506
60032,7,-110.7113,31.52787
60032,8,-110.70395,31.51602
60032,9,-110.70313,31.50052
60032,10,-110.69317,31.40957
60033,1,-109.694808,31.818195
60051,1,-113.064986,36.286379
60052,1,-112.02877,36.309268
60053,1,-111.452995,36.914238
60054,1,-110.879431,36.391563
60055,1,-109.64379,36.359923
60056,1,-114.34287,35.06785
60056,2,-114.33347,35.06579
60056,3,-114.32294,35.06253
60056,4,-114.3101,35.05985
60056,5,-114.30419,35.05609
60056,6,-114.294,35.05304
60056,7,-114.28568,35.05045
60056,8,-114.27545,35.04915
60056,9,-114.26637,35.0457
60056,10,-114.25864,35.04142
60057,1,-113.806548,35.414999
60058,1,-112.218833,35.055632
60059,1,-111.947585,35.16341
60060,1,-110.379898,35.277981
60061,1,-109.851608,35.530234
60063,1,-113.601104,34.229807
60064,1,-112.61843,34.773391
60065,1,-111.100829,34.356684
60066,1,-110.778358,34.694225
60067,1,-109.91545,34.115398
60068,1,-114.668044,33.231216
60069,1,-112.937545,33.286998
60070,1,-112.6771,33.333748
60071,1,-111.639838,33.817703
60072,1,-110.528854,33.175082
60073,1,-109.165766,33.866866
60074,1,-114.44522,32.854801
60076,1,-112.262496,32.17644
60077,1,-111.32603,32.57419
60077,2,-111.33908,32.5694
60077,3,-111.35508,32.56368
60077,4,-111.37029,32.55812
60077,5,-111.38608,32.55239
60077,6,-111.40108,32.54681
60077,7,-111.41652,32.54099
60077,8,-111.43216,32.53522
60077,9,-111.44796,32.52979
60077,10,-111.46304,32.52409
60078,1,-110.50543,32.54256
60078,2,-110.50367,32.52964
60078,3,-110.50085,32.5158
60078,4,-110.49634,32.50194
60078,5,-110.49405,32.48779
60078,6,-110.49081,32.47397
60078,7,-110.48812,32.46114
60078,8,-110.49137,32.44884
60078,9,-110.4977,32.43609
60078,10,-110.4988,32.42224
60079,1,-109.816871,32.649371
60080,1,-112.933219,32.401385
60081,1,-111.067145,31.712032
60082,1,-110.944625,31.957626
60083,1,-109.472747,31.646754
60101,1,-113.458785,36.690101
60103,1,-111.076865,36.609546
60105,1,-109.196586,36.301968
60106,1,-114.661986,35.866378
60107,1,-113.363563,35.55247
60108,1,-112.585967,35.230795
60115,1,-111.287422,34.555508
60116,1,-110.377466,34.611166
60116,2,-110.378419,34.593124
60116,3,-110.378323,34.577132
60116,4,-110.378213,34.566124
60116,5,-110.378259,34.551913
60116,6,-110.378552,34.539811
60116,7,-110.378452,34.52185
60116,8,-110.378277,34.498366
60116,9,-110.378539,34.485884
60116,10,-110.381014,34.471974
60119,1,-113.82479,33.922584
60121,1,-111.378906,33.038543
60122,1,-110.946464,33.565611
60123,1,-109.106307,33.610381
60127,1,-111.333472,32.958312
60133,1,-109.201339,31.982526
60176,1,-112.827079,32.355932
60206,1,-114.662025,35.866318
60622,1,-111.406083,34.925944
60622,2,-111.406139,34.925917
60622,3,-111.375333,34.941806
60622,4,-111.359167,34.9425
60622,5,-111.342028,34.943
60622,6,-111.346694,34.957333
60622,7,-111.331556,34.954444
60622,8,-111.352694,34.940306
60622,9,-111.351083,34.928278
60622,10,-111.341028,34.933333
60900,1,-109.5491,31.55174
60900,2,-109.54909,31.54314
60900,3,-109.53902,31.54306
60900,4,-109.53182,31.54172
60900,5,-109.5372,31.53442
60900,6,-109.53806,31.52669
60900,7,-109.54743,31.52575
60900,8,-109.55496,31.52269
60900,9,-109.56452,31.52383
60900,10,-109.57221,31.52408
60901,1,-109.225288,31.606461
61415,1,-110.56979,32.89743
61415,2,-110.57833,32.88545
61415,3,-110.58891,32.87593
61415,4,-110.59875,32.86973
61415,5,-110.60239,32.85814
61415,6,-110.61416,32.85045
61415,7,-110.62722,32.84493
61415,8,-110.64137,32.84798
61415,9,-110.65653,32.85381
61415,10,-110.67352,32.85847
61512,1,-111.59849,31.96552
61512,2,-111.609147,31.95614
61512,3,-111.620961,31.950772
61512,4,-111.622572,31.963119
61512,5,-111.610283,31.968956
61512,6,-111.600622,31.982044
61512,7,-111.583205,31.990836
61512,8,-111.57049,31.99814
61512,9,-111.574387,32.012446
61512,10,-111.577139,32.026702
63209,1,-110.905151,33.811447
69005,1,-112.3256,33.903283
69005,2,-112.328217,33.916533
69005,3,-112.328117,33.9269
69005,4,-112.321983,33.933583
69005,5,-112.32865,33.946367
69005,6,-112.33735,33.957433
69005,7,-112.347217,33.968617
69005,8,-112.360517,33.975033
69005,9,-112.364933,33.987117
69005,10,-112.37725,33.994867
69005,11,-112.383333,33.997083
69028,1,-112.73764,33.99078
69028,2,-112.72661,33.97525
69028,3,-112.71395,33.96133
69028,4,-112.70399,33.94645
69028,5,-112.68939,33.93117
69028,6,-112.67953,33.92097
69028,7,-112.67526,33.90872
69028,8,-112.66833,33.89723
69028,9,-112.65511,33.8807
69028,10,-112.63931,33.86829
69272,1,-109.915,31.919716
69316,1,-114.483115,34.985987
69332,1,-114.580116,35.124156
69352,1,-110.323013,34.667366
70001,1,-91.890575,33.311802
70002,1,-91.332234,33.168375
70003,1,-92.597961,33.904597
70004,1,-92.697205,33.590838
70004,2,-92.69335,33.577123
70004,3,-92.693722,33.565177
70004,4,-92.692027,33.557533
70004,5,-92.676388,33.557661
70004,6,-92.668241,33.548032
70004,7,-92.657099,33.537151
70004,8,-92.64149,33.533175
70004,9,-92.634037,33.523215
70004,10,-92.6265,33.513697
70005,1,-93.470629,33.375581
70006,1,-93.663721,33.663203
70007,1,-94.122864,33.696996
70008,1,-90.506322,34.926999
70009,1,-91.700048,34.707997
70010,1,-91.4995,34.048743
70011,1,-92.785457,34.617677
70012,1,-92.663652,34.340016
70013,1,-93.251341,34.034498
70014,1,-93.082702,34.697205
70015,1,-94.04394,34.970449
70016,1,-90.680933,35.484867
70018,1,-91.357758,35.314676
70019,1,-91.342224,35.911427
70020,1,-92.718224,35.633088
70021,1,-92.195605,35.570219
70022,1,-93.664245,35.426377
70023,1,-93.069678,35.780689
70023,2,-93.063619,35.792528
70023,3,-93.059825,35.807353
70023,4,-93.062525,35.81965
70023,5,-93.067767,35.829975
70023,6,-93.061886,35.858128
70023,7,-93.049267,35.851203
70023,8,-93.043672,35.555217
70023,9,-93.042142,35.8733
70023,10,-93.0372,35.885372
70024,1,-94.331041,35.351709
70025,1,-90.923635,36.443689
70026,1,-91.735378,36.098917
70027,1,-92.1148,36.406109
70027,2,-92.110407,36.394986
70027,3,-92.112348,36.381623
70027,4,-92.110368,36.367105
70027,5,-92.109782,36.353408
70027,6,-92.105281,36.339792
70027,7,-92.094745,36.329198
70027,8,-92.08963,36.316894
70027,9,-92.081857,36.305326
70027,10,-92.07454,36.29364
70028,1,-93.280163,36.120619
70029,1,-94.109914,36.405313
70049,1,-94.344455,35.615745
70049,2,-94.353596,35.615
70049,3,-94.356551,35.609346
70049,4,-94.353507,35.604183
70049,5,-94.34734,35.601432
70049,6,-94.351111,35.597086
70049,7,-94.358606,35.595399
70049,8,-94.361633,35.588628
70049,9,-94.359255,35.582802
70049,10,-94.363107,35.576652
70103,1,-92.589393,33.939472
70109,1,-91.714193,34.701006
70111,1,-92.800955,34.702004
70114,1,-93.236751,34.828259
70117,1,-90.287031,35.51835
70117,2,-90.267739,35.533089
70117,3,-90.267717,35.533047
70117,4,-90.258014,35.54155
70117,5,-90.242081,35.539342
70117,6,-90.224389,35.538986
70117,7,-90.206422,35.538917
70117,8,-90.188783,35.538928
70117,9,-90.170925,35.538694
70117,10,-90.153294,35.538411
70508,1,-91.75434,36.164632
70508,2,-91.759722,36.164632
70508,3,-91.745492,36.165212
70508,4,-91.735568,36.160287
70508,5,-91.730785,36.150245
70508,6,-91.71536,36.143775
70508,7,-91.713687,36.130837
70508,8,-91.72086,36.120118
70508,9,-91.736763,36.120118
70508,10,-91.74621,36.12147
70741,1,-93.68933,34.65945
70741,2,-93.68021,34.66734
70741,3,-93.6721,34.68146
70741,4,-93.66844,34.69343
70741,5,-93.66246,34.70626
70741,6,-93.65115,34.71747
70741,7,-93.63654,34.72524
70741,8,-93.6255,34.73266
70741,9,-93.61162,34.73183
70741,10,-93.59917,34.7393
70900,1,-93.294831,35.643944
70900,2,-93.29105,35.635036
70900,3,-93.2776,35.637669
70900,4,-93.263692,35.635817
70900,5,-93.271525,35.624494
70900,6,-93.273767,35.611394
70900,7,-93.262408,35.607181
70900,8,-93.250197,35.598947
70900,9,-93.251014,35.585656
70900,10,-93.237658,35.578542
70901,1,-93.42489,35.15966
70901,2,-93.43343,35.16765
70901,3,-93.43634,35.18057
70901,4,-93.44893,35.18671
70901,5,-93.46593,35.18695
70901,6,-93.48174,35.19005
70901,7,-93.4976,35.19524
70901,8,-93.51387,35.1992
70901,9,-93.52942,35.19658
70901,10,-93.54548,35.19473
70902,1,-93.821229,35.692146
70903,1,-92.614227,33.697837
70904,1,-90.684515,34.736416
70904,2,-90.695582,34.744228
70904,3,-90.705831,34.754806
70904,4,-90.722522,34.75864
70904,5,-90.722671,34.74433
70904,6,-90.722883,34.730616
70904,7,-90.719045,34.717122
70904,8,-90.704115,34.712826
70904,9,-90.691397,34.704731
70904,10,-90.682414,34.693597
73150,1,-92.95267,35.49759
73150,2,-92.93998,35.50295
73150,3,-92.92331,35.50295
73150,4,-92.90988,35.49714
73150,5,-92.89496,35.49101
73150,6,-92.88003,35.48541
73150,7,-92.87346,35.4949
73150,8,-92.859878,35.507172
73150,9,-92.848933,35.516436
73150,10,-92.850561,35.5306
