"id","Route.Stop","state","name","created_at","updated_at","Route.Latitude","Route.Longitude","year","stop_des","wind","sky","noise","cars","moon","dir","species","min.1","min.2","min.3","min.4","min.5","min.6"
"NH01",5,"NH","Bow","","",43.142,-71.509,2021,"",0,1,"1","0","","","NONE",0,0,0,0,0,0
"NH01",5,"NH","Bow","","",43.142,-71.509,2022,"",0,0,"0","1","","","NONE",0,0,0,0,0,0
"NH01",6,"NH","Bow","","",43.132,-71.514,2019,"",1,1,"0","0","","","NONE",0,0,0,0,0,0
"NH01",6,"NH","Bow","","",43.132,-71.514,2020,"",1,0,"0","1","","","NONE",0,0,0,0,0,0
"NH01",6,"NH","Bow","","",43.132,-71.514,2017,"",1,0,"0","4","","","NONE",0,0,0,0,0,0
"NH01",6,"NH","Bow","","",43.132,-71.514,2014,"",1,2,"0","1","","","NONE",0,0,0,0,0,0
"NH01",6,"NH","Bow","","",43.132,-71.514,2016,"",1,0,"0","0","","","NONE",0,0,0,0,0,0
"NH01",6,"NH","Bow","","",43.132,-71.514,2013,"",1,0,"0","0","","","NONE",0,0,0,0,0,0
"NH01",6,"NH","Bow","","",43.132,-71.514,2021,"",0,1,"1","1","","","NONE",0,0,0,0,0,0
"NH01",6,"NH","Bow","","",43.132,-71.514,2022,"",0,0,"0","1","","","NONE",0,0,0,0,0,0
"NH01",6,"NH","Bow","","",43.132,-71.514,2018,"",0,0,"0","0","","","NONE",0,0,0,0,0,0
"NH01",6,"NH","Bow","","",43.132,-71.514,2015,"",1,1,"0","0","","","NONE",0,0,0,0,0,0
"NH01",7,"NH","Bow","","",43.12,-71.511,2017,"",1,0,"0","3","","","NONE",0,0,0,0,0,0
"NH01",7,"NH","Bow","","",43.12,-71.511,2020,"",1,1,"0","2","","","NONE",0,0,0,0,0,0
"NH01",7,"NH","Bow","","",43.12,-71.511,2016,"",1,0,"1","7","","","NONE",0,0,0,0,0,0
"NH01",7,"NH","Bow","","",43.12,-71.511,2013,"",1,0,"1","4","","","NONE",0,0,0,0,0,0
