"random_route_name","selected","BBS_route","Longitude.BBS","Latitude.BBS","distance","X.random","Y.random","ST","BCR"
"30-CT-3",0,"840-18-15",-72.8512329,41.5832977,18.4585472580139,-72.8564550033602,41.3161729488175,"CT",30
"30-CT-3",0,"840-18-6",-72.4984279,41.2710807,18.8453863999015,-72.8564550033602,41.3161729488175,"CT",30
"30-CT-5",0,"840-18-105",-72.1389149,41.9407577,5.46515439604461,-72.0350654858044,41.9578164883534,"CT",30
"30-CT-5",0,"840-18-5",-72.1389149,41.9407577,5.46515439604461,-72.0350654858044,41.9578164883534,"CT",30
"30-CT-5",0,"840-18-7",-72.1354049,41.7771877,13.5059700918629,-72.0350654858044,41.9578164883534,"CT",30
"30-CT-6",0,"840-18-1",-71.9642159,41.3360007,17.7191789869538,-71.8054665172409,41.5631781449379,"CT",30
"30-CT-1",1,"840-18-116",-72.9557559,41.8805267,9.02509422365777,-72.811053226613,41.9544742722277,"CT",30
"30-CT-1",1,"840-18-2",-72.9096309,41.6976407,18.4570586455608,-72.811053226613,41.9544742722277,"CT",30
"30-CT-2",1,"840-18-105",-72.1389149,41.9407577,17.1262252174191,-72.3906206565038,41.7785957719554,"CT",30
"30-CT-2",1,"840-18-14",-72.5906625,41.5651229,18.0038669407545,-72.3906206565038,41.7785957719554,"CT",30
"30-CT-2",1,"840-18-3",-72.5159969,41.7026037,8.32760324377498,-72.3906206565038,41.7785957719554,"CT",30
"30-CT-2",1,"840-18-5",-72.1389149,41.9407577,17.1262252174191,-72.3906206565038,41.7785957719554,"CT",30
"30-CT-2",1,"840-18-7",-72.1354049,41.7771877,13.1504137766808,-72.3906206565038,41.7785957719554,"CT",30
"30-CT-4",1,"840-18-11",-73.5313225,41.3362789,18.9372461965514,-73.4737791062026,41.6069480282617,"CT",30
"30-CT-4",1,"840-18-112",-73.350226,41.7487967,11.6922849188507,-73.4737791062026,41.6069480282617,"CT",30
"30-CT-4",1,"840-18-12",-73.3502269,41.7487967,11.6922595916341,-73.4737791062026,41.6069480282617,"CT",30
"30-CT-4",1,"840-18-8",-73.2167392,41.5493443,13.8685815005424,-73.4737791062026,41.6069480282617,"CT",30
"30-CT-4",1,"840-18-9",-73.5009399,41.5387127,4.91920754737432,-73.4737791062026,41.6069480282617,"CT",30
"30-DE-7",0,"840-21-10",-75.2899489,38.7480537,17.4104815014521,-75.6055305892732,38.6944456362148,"DE",30
"30-DE-7",0,"840-21-106",-75.276335,38.563044,19.9538502456423,-75.6055305892732,38.6944456362148,"DE",30
"30-DE-7",0,"840-21-108",-75.4329919,38.5040677,16.1191566180337,-75.6055305892732,38.6944456362148,"DE",30
"30-DE-7",0,"840-21-109",-75.4638509,38.7324037,8.07601362418311,-75.6055305892732,38.6944456362148,"DE",30
"30-DE-7",0,"840-21-208",-75.4329919,38.5040677,16.1191566180337,-75.6055305892732,38.6944456362148,"DE",30
"30-DE-7",0,"840-21-3",-75.5366119,38.9594417,18.681512801145,-75.6055305892732,38.6944456362148,"DE",30
"30-DE-7",0,"840-21-8",-75.4329779,38.5040567,16.1202141957005,-75.6055305892732,38.6944456362148,"DE",30
"30-DE-8",1,"840-21-10",-75.2899489,38.7480537,19.1796929657969,-75.5353133890249,38.9494014931747,"DE",30
"30-DE-8",1,"840-21-109",-75.4638509,38.7324037,15.4785062732587,-75.5353133890249,38.9494014931747,"DE",30
"30-DE-8",1,"840-21-110",-75.338982,38.999412,11.0976115867556,-75.5353133890249,38.9494014931747,"DE",30
"30-DE-8",1,"840-21-3",-75.5366119,38.9594417,0.697212010857694,-75.5353133890249,38.9494014931747,"DE",30
"30-DE-8",1,"840-21-4",-75.4652999,39.0287137,6.64586328161752,-75.5353133890249,38.9494014931747,"DE",30
"30-DE-8",1,"840-21-5",-75.4593569,39.0295357,6.87713358771398,-75.5353133890249,38.9494014931747,"DE",30
"27-FL-11",0,"840-25-62",-84.340943,29.9468226,11.0587671200608,-84.3380661366161,30.1068584755053,"FL",27
"27-FL-12",0,"840-25-4",-85.1334541,30.5288404,18.9471610244567,-84.8424260460351,30.6403271039779,"FL",27
"27-FL-13",0,"840-25-11",-83.3782062,29.6686989,17.935853508239,-83.157920272845,29.8442369427205,"FL",27
"27-FL-13",0,"840-25-84",-83.0674784,29.6862263,12.1908526486123,-83.157920272845,29.8442369427205,"FL",27
"27-FL-14",0,"840-25-12",-82.7337409,30.5026237,19.0874010088175,-82.427964683372,30.4198747668775,"FL",27
"27-FL-14",0,"840-25-137",-82.1626039,30.2516797,19.6331339662725,-82.427964683372,30.4198747668775,"FL",27
"27-FL-14",0,"840-25-37",-82.1623546,30.2531989,19.5831083640374,-82.427964683372,30.4198747668775,"FL",27
"27-FL-14",0,"840-25-902",-82.3594866,30.3790152,4.96224340161343,-82.427964683372,30.4198747668775,"FL",27
"27-FL-14",0,"840-25-917",-82.4080153,30.2200916,13.8548899262006,-82.427964683372,30.4198747668775,"FL",27
"27-FL-17",0,"840-25-108",-85.0052085,30.3242578,13.582132767541,-84.8672405470658,30.1679347913741,"FL",27
"27-FL-17",0,"840-25-15",-84.9762879,29.9877641,14.0526518475965,-84.8672405470658,30.1679347913741,"FL",27
"27-FL-17",0,"840-25-57",-84.6639032,30.387698,19.4361726023895,-84.8672405470658,30.1679347913741,"FL",27
"27-FL-17",0,"840-25-8",-84.9914239,30.3358457,13.7669980304119,-84.8672405470658,30.1679347913741,"FL",27
"27-FL-17",0,"840-25-901",-84.6552242,30.2634445,14.2755147839751,-84.8672405470658,30.1679347913741,"FL",27
