"random_route_name","selected","existing_route","Longitude.existing","Latitude.existing","distance","X.random","Y.random","ST","BCR"
"30-CT-3",0,"CT_NB65",-72.926229,41.600755,19.9919298613291,-72.8564550033602,41.3161729488175,"CT",30
"30-CT-3",0,"CT_OW67",-72.663749,41.505633,16.4643999297924,-72.8564550033602,41.3161729488175,"CT",30
"30-CT-3",0,"CT_WH64",-73.096315,41.505333,18.0362301309721,-72.8564550033602,41.3161729488175,"CT",30
"30-CT-3",0,"CT_WH82",-72.635417,41.483466,16.2740615590489,-72.8564550033602,41.3161729488175,"CT",30
"30-CT-5",0,"CT_NB25",-72.250643,41.963647,11.0832840375464,-72.0350654858044,41.9578164883534,"CT",30
"30-CT-5",0,"CT_WH28",-71.988416,41.939618,2.70696853255522,-72.0350654858044,41.9578164883534,"CT",30
"30-CT-6",0,"CT_NB103104",-71.987282,41.369867,16.340421071742,-71.8054665172409,41.5631781449379,"CT",30
"30-CT-6",0,"CT_NB86",-72.168868,41.476249,19.7356787054859,-71.8054665172409,41.5631781449379,"CT",30
"30-CT-6",0,"CT_NB89",-71.867666,41.413099,10.8577138017022,-71.8054665172409,41.5631781449379,"CT",30
"30-CT-1",1,"CT_NB35",-72.944165,41.861718,9.37672118495881,-72.811053226613,41.9544742722277,"CT",30
"30-CT-1",1,"CT_NB20",-72.958791,41.87759,9.2690729824933,-72.811053226613,41.9544742722277,"CT",30
"30-CT-1",1,"CT_OW18",-73.181483,41.954417,19.0338412202368,-72.811053226613,41.9544742722277,"CT",30
"30-CT-2",1,"CT_WH85",-72.340015,41.495817,19.7121336490361,-72.3906206565038,41.7785957719554,"CT",30
"30-CT-4",1,"CT_OW91",-73.381834,41.337967,19.1847075374586,-73.4737791062026,41.6069480282617,"CT",30
"30-DE-7",0,NA,NA,NA,NA,-75.6055305892732,38.6944456362148,"DE",30
"30-DE-8",1,"DE_Milford Neck",-75.334174,39.000373,11.3636532381446,-75.5353133890249,38.9494014931747,"DE",30
"27-FL-11",0,"FL_0062",-84.390139,29.980639,9.26038833939898,-84.3380661366161,30.1068584755053,"FL",27
"27-FL-11",0,"FL_9242",-84.341376,29.94711,11.0393462647193,-84.3380661366161,30.1068584755053,"FL",27
"27-FL-12",0,NA,NA,NA,NA,-84.8424260460351,30.6403271039779,"FL",27
"27-FL-13",0,"FL_0084",-83.066054,29.718356,10.2954783231175,-83.157920272845,29.8442369427205,"FL",27
"27-FL-14",0,"FL_0917",-82.40441,30.220191,13.8681777492956,-82.427964683372,30.4198747668775,"FL",27
"27-FL-14",0,"FL_0012",-82.73374,30.502623,19.0873354442494,-82.427964683372,30.4198747668775,"FL",27
"27-FL-14",0,"FL_0902",-82.361397,30.37861,4.88533841199058,-82.427964683372,30.4198747668775,"FL",27
"27-FL-17",0,"FL_9244",-84.655555,30.263638,14.2641856669007,-84.8672405470658,30.1679347913741,"FL",27
"27-FL-17",0,"FL_0901",-84.66709,30.25544,13.393057867341,-84.8672405470658,30.1679347913741,"FL",27
"27-FL-18",0,"FL_9303",-83.855299,30.264254,7.12167313793125,-83.9662452966803,30.2263330179627,"FL",27
"27-FL-20",0,"FL_0055",-85.741989,30.94981,9.98577653650265,-85.686365454612,30.8133959841713,"FL",27
"27-FL-22",0,NA,NA,NA,NA,-84.3832066119046,30.4243042206713,"FL",27
"27-FL-23",0,"FL_0010",-81.93605,30.02291,13.2327803043061,-82.1570046240778,30.0140840006925,"FL",27
"27-FL-28",0,NA,NA,NA,NA,-81.4973042697547,30.2026704456976,"FL",27
"27-FL-30",0,"FL_0011",-83.376762,29.669173,4.19324596025487,-83.3235987175242,29.6298214488962,"FL",27
"27-FL-32",0,"FL_0015",-84.977667,29.997984,4.62126053030109,-84.9567941874677,29.9335905347727,"FL",27
"27-FL-34",0,"FL_0059",-82.81096,30.01881,4.63951915372418,-82.7392069478191,29.9933538236962,"FL",27
"27-FL-35",0,"FL_0037",-82.162558,30.254345,13.1107010004892,-81.984292651561,30.3653481211756,"FL",27
"27-FL-35",0,"FL_0137",-82.162603,30.251679,13.2215770432107,-81.984292651561,30.3653481211756,"FL",27
"27-FL-35",0,"FL_0060",-81.960098,30.520806,10.8373769703288,-81.984292651561,30.3653481211756,"FL",27
"27-FL-10",1,"FL_6582",-86.761944,30.426111,15.2493389192529,-86.7340797685176,30.645508297392,"FL",27
"27-FL-10",1,"FL_0052",-86.52359,30.48892,16.5488939974099,-86.7340797685176,30.645508297392,"FL",27
"27-FL-10",1,"FL_9249",-86.791067,30.723392,6.35798610560326,-86.7340797685176,30.645508297392,"FL",27
"27-FL-10",1,"FL_0920",-86.749626,30.421906,15.4771279859021,-86.7340797685176,30.645508297392,"FL",27
"27-FL-15",1,"FL_0004",-85.132689,30.529429,18.4239590352486,-84.8746619034569,30.3823535680676,"FL",27
"27-FL-15",1,"FL_0008",-84.991423,30.335845,7.66708203155882,-84.8746619034569,30.3823535680676,"FL",27
"27-FL-15",1,"FL_0057",-84.662445,30.387746,12.6542804783587,-84.8746619034569,30.3823535680676,"FL",27
"27-FL-15",1,"FL_0108",-84.999914,30.331417,8.25534054370625,-84.8746619034569,30.3823535680676,"FL",27
"27-FL-16",1,"FL_0105",-85.271735,30.371575,14.1030126447203,-85.5062104203103,30.3446012180511,"FL",27
"27-FL-16",1,"FL_0005",-85.286978,30.337249,13.0827037418977,-85.5062104203103,30.3446012180511,"FL",27
"27-FL-19",1,"FL_0006",-84.040998,30.594776,9.050422243058,-84.1818231336519,30.6444851436057,"FL",27
"27-FL-21",1,"FL_0054",-85.240111,30.533499,14.2017136715877,-85.4705570177471,30.5870846333866,"FL",27
"27-FL-24",1,"FL_0007",-85.900449,30.389852,3.36352246883551,-85.9462589434907,30.4182909586299,"FL",27
"27-FL-24",1,"FL_0107",-85.872809,30.392116,4.73586123965166,-85.9462589434907,30.4182909586299,"FL",27
"27-FL-25",1,"FL_0038",-81.807075,30.099902,18.9494255980411,-81.8578846437603,29.8291994845717,"FL",27
"27-FL-25",1,"FL_0021",-81.834304,29.897069,4.897576648318,-81.8578846437603,29.8291994845717,"FL",27
"27-FL-26",1,NA,NA,NA,NA,-87.1974786083414,30.6346957521071,"FL",27
"27-FL-27",1,"FL_0061",-83.215881,30.519309,17.0967628978033,-83.5020627629047,30.540832754404,"FL",27
"27-FL-27",1,"FL_0056",-83.559715,30.422961,8.83808922934623,-83.5020627629047,30.540832754404,"FL",27
"27-FL-27",1,"FL_0058",-83.339804,30.34821,16.4482620853746,-83.5020627629047,30.540832754404,"FL",27
"27-FL-29",1,NA,NA,NA,NA,-82.6478541689081,30.2061953950275,"FL",27
"27-FL-31",1,"FL_6170",-86.951226,30.801248,12.9393792164531,-86.9026120796184,30.983816074216,"FL",27
"27-FL-31",1,"FL_0051",-86.951226,30.801248,12.9393792164531,-86.9026120796184,30.983816074216,"FL",27
"27-FL-33",1,NA,NA,NA,NA,-81.5097089466373,30.430798124819,"FL",27
"27-FL-36",1,"FL_0904",-85.117546,30.968941,9.15931146572088,-85.2583655328315,30.9143011690631,"FL",27
"27-FL-9",1,"FL_0002",-86.279799,30.3752,18.9174235213459,-86.2605199945279,30.6484905621729,"FL",27
"27-FL-9",1,"FL_0003",-86.480912,30.519315,15.8590998472461,-86.2605199945279,30.6484905621729,"FL",27
"27-FL-9",1,"FL_0053",-86.16304,30.706119,7.02917018137013,-86.2605199945279,30.6484905621729,"FL",27
"27-FL-9",1,"FL_9302",-86.3789,30.71195,8.289026213449,-86.2605199945279,30.6484905621729,"FL",27
"31-FL-37",0,"FL_0069",-81.331298,28.330708,11.6100829784382,-81.3359628402214,28.4986924408814,"FL",31
"31-FL-38",0,NA,NA,NA,NA,-81.7472926824889,27.1922585202626,"FL",31
"31-FL-39",0,"FL_9300",-80.43055,27.824467,15.5471380513122,-80.3965839750855,27.6014690618479,"FL",31
"31-FL-39",0,"FL_0075",-80.448691,27.860023,18.1463863633174,-80.3965839750855,27.6014690618479,"FL",31
"31-FL-39",0,"FL_0175",-80.443419,27.850631,17.4521303030071,-80.3965839750855,27.6014690618479,"FL",31
"31-FL-40",0,NA,NA,NA,NA,-80.7927978025938,26.2417559461402,"FL",31
"31-FL-41",0,"FL_3371",-81.113583,29.307222,14.6407869647909,-81.170067016573,29.5133283587726,"FL",31
"31-FL-41",0,"FL_2625",-81.074167,29.304944,15.511941329782,-81.170067016573,29.5133283587726,"FL",31
"31-FL-41",0,"FL_0064",-81.209746,29.418432,6.97767599374449,-81.170067016573,29.5133283587726,"FL",31
"31-FL-44",0,"FL_0076",-80.53591,26.33587,16.8132679644133,-80.5905945708369,26.5742351847285,"FL",31
"31-FL-44",0,"FL_0912",-80.538284,26.336186,16.7629148915291,-80.5905945708369,26.5742351847285,"FL",31
"31-FL-46",0,"FL_0063",-81.87752,29.537,8.96921625877357,-81.780836297652,29.6359059878129,"FL",31
"31-FL-48",0,"FL_0135",-80.965086,25.136201,13.0765889789386,-80.7994863213639,25.251809040935,"FL",31
"31-FL-50",0,"FL_9341",-80.529388,27.252855,5.78252420086822,-80.5460822877825,27.3352209518198,"FL",31
"31-FL-50",0,"FL_0074",-80.529388,27.252855,5.78252420086822,-80.5460822877825,27.3352209518198,"FL",31
"31-FL-51",0,"FL_0132",-82.026962,26.917106,9.79108426114223,-82.1475237817806,27.0094870469491,"FL",31
"31-FL-51",0,"FL_0916",-81.959374,26.995014,11.6258622275869,-82.1475237817806,27.0094870469491,"FL",31
"31-FL-52",0,"FL_0068",-81.547363,28.690259,11.971385253324,-81.4810957270065,28.8534960198504,"FL",31
"31-FL-53",0,"FL_0035",-80.766363,25.657966,11.1579960446114,-80.6621734032435,25.5266283815384,"FL",31
"31-FL-53",0,"FL_9326",-80.414925,25.626001,16.8697183415838,-80.6621734032435,25.5266283815384,"FL",31
"31-FL-53",0,"FL_9297",-80.409767,25.604039,16.6165102980104,-80.6621734032435,25.5266283815384,"FL",31
"31-FL-53",0,"FL_9290",-80.542206,25.49153,7.86417333832903,-80.6621734032435,25.5266283815384,"FL",31
"31-FL-53",0,"FL_9320",-80.610487,25.383593,10.3955416909979,-80.6621734032435,25.5266283815384,"FL",31
"31-FL-57",0,NA,NA,NA,NA,-82.8075086969462,29.3607498692949,"FL",31
"31-FL-58",0,"FL_0065",-82.234967,29.26185,19.5960969676212,-81.9101529019139,29.2503000047011,"FL",31
"31-FL-58",0,"FL_0903",-81.80805,29.39922,11.9875759779133,-81.9101529019139,29.2503000047011,"FL",31
"31-FL-58",0,"FL_0113",-82.117599,29.455426,18.8930005082591,-81.9101529019139,29.2503000047011,"FL",31
"31-FL-60",0,"FL_0028",-80.953925,25.746731,15.9395156391796,-81.2094719319622,25.7624083696694,"FL",31
"31-FL-63",0,NA,NA,NA,NA,-82.7746262060021,27.9729573987501,"FL",31
"31-FL-64",0,"FL_0081",-81.12687,26.55582,7.7313593777942,-81.0499355202254,26.4676075204945,"FL",31
"31-FL-65",0,NA,NA,NA,NA,-80.5767055418988,25.954554007945,"FL",31
"31-FL-67",0,"FL_0020",-82.302208,28.327059,13.915238146145,-82.073494421433,28.321878656335,"FL",31
"31-FL-67",0,"FL_0906",-81.919691,28.302351,9.45238636788546,-82.073494421433,28.321878656335,"FL",31
"31-FL-67",0,"FL_9304",-82.20301,28.31443,7.8945546706046,-82.073494421433,28.321878656335,"FL",31
"31-FL-68",0,"FL_0022",-81.860565,28.17884,15.6130149833223,-81.6080733671649,28.139997253787,"FL",31
"31-FL-68",0,"FL_0029",-81.719114,27.900914,17.8536102170673,-81.6080733671649,28.139997253787,"FL",31
"31-FL-68",0,"FL_2930",-81.602873,28.379332,16.539487415769,-81.6080733671649,28.139997253787,"FL",31
"31-FL-69",0,NA,NA,NA,NA,-82.5245532529947,27.3332012321828,"FL",31
"31-FL-73",0,"FL_0033",-80.431265,26.062834,10.2258382679552,-80.2938269990998,26.1445147302376,"FL",31
"31-FL-73",0,"FL_0040",-80.434044,26.05948,10.4980836714508,-80.2938269990998,26.1445147302376,"FL",31
"31-FL-73",0,"FL_0077",-80.229444,26.085277,5.71897649721384,-80.2938269990998,26.1445147302376,"FL",31
"31-FL-74",0,"FL_1234",-81.11129,29.07054,13.7202143068539,-81.0509666749269,28.8791059779454,"FL",31
"31-FL-74",0,"FL_2630",-81.11283,29.07729,14.1945710739236,-81.0509666749269,28.8791059779454,"FL",31
"31-FL-78",0,"FL_0086",-81.761,26.945984,16.3163506140112,-81.5154917775943,26.8574877708916,"FL",31
"31-FL-78",0,"FL_0082",-81.358519,26.875199,9.75220991711327,-81.5154917775943,26.8574877708916,"FL",31
"31-FL-79",0,NA,NA,NA,NA,-80.9895066782917,26.0531868012339,"FL",31
"31-FL-42",1,"FL_9273",-80.573898,26.994398,19.6666411624457,-80.2555558993637,27.0183508422005,"FL",31
"31-FL-42",1,"FL_0919",-80.5319,26.9942,17.0931794981319,-80.2555558993637,27.0183508422005,"FL",31
"31-FL-42",1,"FL_0031",-80.374091,26.958371,8.3926571622519,-80.2555558993637,27.0183508422005,"FL",31
"31-FL-43",1,"FL_0915",-80.831726,28.809229,10.1831966803272,-80.879275613072,28.667866078855,"FL",31
"31-FL-43",1,"FL_0918",-81.02115,28.569317,10.9731238129733,-80.879275613072,28.667866078855,"FL",31
"31-FL-43",1,"FL_0025",-80.87123,28.748118,5.56627559224363,-80.879275613072,28.667866078855,"FL",31
"31-FL-43",1,"FL_9350",-80.996932,28.569276,9.86541436738004,-80.879275613072,28.667866078855,"FL",31
"31-FL-45",1,"FL_0023",-81.981682,28.572387,4.91717743383165,-81.9368093459168,28.6316546573165,"FL",31
"31-FL-45",1,"FL_9266",-82.166854,28.581585,14.3767198086943,-81.9368093459168,28.6316546573165,"FL",31
"31-FL-45",1,"FL_0066",-82.17099,28.647186,14.2412215308648,-81.9368093459168,28.6316546573165,"FL",31
"31-FL-47",1,"FL_0911",-80.267813,26.854443,8.23134941201989,-80.223287466265,26.7421341706355,"FL",31
"31-FL-49",1,"FL_0072",-81.583319,27.42664,9.23251328135286,-81.7187655876593,27.4850305026808,"FL",31
"31-FL-49",1,"FL_0129",-81.620657,27.617433,10.9456796549984,-81.7187655876593,27.4850305026808,"FL",31
"31-FL-49",1,"FL_0172",-81.600402,27.497237,7.30354782891225,-81.7187655876593,27.4850305026808,"FL",31
"31-FL-54",1,"FL_0039",-80.203284,26.367802,6.21425543719854,-80.2109795237286,26.4574774171073,"FL",31
"31-FL-55",1,"FL_7949",-82.341626,28.076686,12.7439026008991,-82.5039215406107,28.1930338235532,"FL",31
"31-FL-55",1,"FL_0016",-82.505004,28.036315,10.8284424019892,-82.5039215406107,28.1930338235532,"FL",31
"31-FL-55",1,"FL_0085",-82.635261,28.276409,9.85417394310994,-82.5039215406107,28.1930338235532,"FL",31
"31-FL-55",1,"FL_0116",-82.508972,28.040227,10.5624329424601,-82.5039215406107,28.1930338235532,"FL",31
"31-FL-56",1,NA,NA,NA,NA,-81.8139051574196,26.2734439370495,"FL",31
"31-FL-59",1,"FL_0030",-80.957213,27.961868,15.5946869669472,-80.9679565712546,27.7363636558575,"FL",31
"31-FL-59",1,"FL_9301",-80.779,27.72415,11.5869599223212,-80.9679565712546,27.7363636558575,"FL",31
"31-FL-61",1,"FL_0905",-82.262717,28.642533,15.0269812341037,-82.5055598137356,28.5994072486602,"FL",31
"31-FL-61",1,"FL_9259",-82.566367,28.67937,6.64237211384293,-82.5055598137356,28.5994072486602,"FL",31
"31-FL-61",1,"FL_0922",-82.566316,28.79009,13.6798426953133,-82.5055598137356,28.5994072486602,"FL",31
"31-FL-62",1,NA,NA,NA,NA,-81.5103906461434,29.1278193025554,"FL",31
"31-FL-66",1,"FL_0018",-81.343811,29.889942,3.89011370952898,-81.3484928609097,29.8337863723205,"FL",31
"31-FL-70",1,"FL_0027",-82.145957,27.667517,12.815475462853,-82.1477577598699,27.8529905251524,"FL",31
"31-FL-70",1,"FL_0070",-82.141729,27.886624,2.35284612047628,-82.1477577598699,27.8529905251524,"FL",31
"31-FL-71",1,NA,NA,NA,NA,-82.029384863413,28.8760301741516,"FL",31
"31-FL-72",1,NA,NA,NA,NA,-82.5856764644829,29.6540581765506,"FL",31
"31-FL-75",1,NA,NA,NA,NA,-81.0125071158917,26.9351819333595,"FL",31
"31-FL-76",1,"FL_0067",-80.898003,28.101118,9.11955173781554,-80.7493599858715,28.116311153238,"FL",31
"31-FL-76",1,"FL_3411",-80.582283,27.873667,19.6206324418756,-80.7493599858715,28.116311153238,"FL",31
"31-FL-77",1,NA,NA,NA,NA,-82.7237846841285,29.0024942433744,"FL",31
"31-FL-80",1,NA,NA,NA,NA,-80.9750870642546,27.238857614559,"FL",31
"31-FL-81",1,"FL_0079",-80.32548,25.29485,1.81909305675015,-80.3056500341227,25.2755711119444,"FL",31
"31-FL-81",1,"FL_0080",-80.371589,25.383943,8.54543026495308,-80.3056500341227,25.2755711119444,"FL",31
"31-FL-81",1,"FL_0078",-80.29861,25.36598,6.26211563712454,-80.3056500341227,25.2755711119444,"FL",31
"31-FL-81",1,"FL_0907",-80.36594,25.22976,4.92069493644085,-80.3056500341227,25.2755711119444,"FL",31
"31-FL-81",1,"FL_0178",-80.28666,25.31268,2.82511675669192,-80.3056500341227,25.2755711119444,"FL",31
"31-FL-81",1,"FL_0180",-80.403915,25.326552,7.07706774027723,-80.3056500341227,25.2755711119444,"FL",31
"31-FL-82",1,"FL_0087",-81.656011,25.932312,14.0095468782881,-81.4410406756678,25.9936095387418,"FL",31
